brand,product name,quantity,price,expected delivery,image,category
  Fresho,Palak,100 g - Rs 16.00,Rs 16,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000389_11-fresho-palak.jpg,Fruits & Vegetables
  Fresho,Lemon,250 g,Rs 12.38,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000127_17-fresho-lemon.jpg,Fruits & Vegetables
Fresho,Potato Onion Tomato 1 kg Each,Combo 3 Items,Rs 115,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/1200045_1-fresho-potato-onion-tomato-1-kg-each.jpg,Fruits & Vegetables
  Fresho,Tomato - Hybrid,500 g - Rs 11.00,Rs 11,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000201_15-fresho-tomato-hybrid.jpg,Fruits & Vegetables
  Fresho,Coriander Leaves,100 g - Rs16.00,Rs 16,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000097_19-fresho-coriander-leaves.jpg,Fruits & Vegetables
  Fresho,Cauliflower,1 pc (approx. 400 to 600 g) - Rs14.85,Rs 14.85,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000074_19-fresho-cauliflower.jpg,Fruits & Vegetables
  Fresho,Mushrooms - Button,1 pack (Approx .180g - 200 g),Rs 49,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000273_16-fresho-mushrooms-button.jpg,Fruits & Vegetables
  Fresho,Capsicum - Green,500 g - Rs17.82,Rs 17.82,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000069_20-fresho-capsicum-green.jpg,Fruits & Vegetables
  Fresho,"Tomato - Local, Organically Grown",500 g,Rs 13,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/40022638_3-fresho-tomato-local-organically-grown.jpg,Fruits & Vegetables
  Fresho,Coconut - Medium,1 pc,Rs 34,Standard Delivery: Tomorrow 8:00AM - 10:00AM,https://www.bigbasket.com/media/uploads/p/s/10000093_16-fresho-coconut-medium.jpg,Fruits & Vegetables
